User_ID,Intake
14733363,2788.1868
14861698,2501.0414
11179863,2070.7236
16180408,2599.038
17771927,2156.7492
15130815,2302.7242
19602372,2460.5378
11117088,2686.6266
12132339,2812.5412
17964668,2206.2313
13723164,2428.2228
13681290,2383.9712
15566424,2209.4891
12891699,2262.2249
13823829,2277.5136
17557348,2469.9486
12198133,2306.5704
15236104,2103.5573
11042324,2339.1396
16864285,2542.4412
11674347,2372.982
19797300,1996.4028
14711095,2148.9312
14434854,2673.0368
14893804,2305.5696
17231597,2211.1608
10901446,2137.7052
15874362,2436.7656
15569252,2232.6416
15615743,2130.642
13363046,2728.0357
17572853,2590.5908
17157339,2446.8756
18328111,2584.8606
19303479,2840.7876
10699201,1810.1292
15283313,1818.6348
16324247,3016.3504
14277710,2749.2752
10888188,2255.1276
13379795,1982.4506
17181524,2508.4682
15988442,2474.3726
19538533,2486.2894
14591877,2119.098
14274480,2129.5365
16818429,2418.2448
17476522,2770.8394
16369885,3188.2494
17816292,1696.4616
15995398,2576.5548
17615432,2142.0216
10146087,2527.7532
17967445,2645.202
19670291,2061.5928
10580576,3028.137
15854213,1981.8747
11138472,2281.5968
18276801,3009.3388
13823902,2284.1448
19222133,2248.4904
13231909,2319.1948
12726617,2251.524
12538968,2466.0428
10941668,2117.4734
12628985,2544.941
17691320,2079.3696
17822027,2484.6648
13777657,2310.4158
19423359,2433.6466
14701930,2762.62
11513205,2428.5772
11842710,2469.5496
12576313,2450.7696
12367125,2770.2416
16913504,2309.6532
19439155,2198.0544
16137644,2539.4782
11622081,2567.3872
17374074,2327.0562
19096890,2796.1557
19628507,2847.677
16918679,1947.9984
11194130,2509.493
18863486,2083.9403
11754581,2621.1679
15161631,2241.8305
18735761,2282.3437
15878611,2371.5016
19249559,2802.1992
15469030,2385.607
11157560,2526.2432
19576971,2347.5816
15048071,2366.076
18707469,2381.4297
12598637,3125.5322
14342169,2198.52
19208771,2241.1752
11790318,2941.0206
11756583,2787.3174
16417986,2856.4757
13065142,2306.5532
10481882,2582.09
19521409,2667.1188
15862346,2523.876
12234447,2132.5452
14624633,2462.859
17074274,2315.6458
17636190,2735.9766
14345479,2011.0332
11772472,2338.7442
19087162,3004.8592
15875055,2119.4459
10939512,2035.7554
13616455,3031.1134
19118405,2046.8076
10503799,2711.7389
16572590,2639.004
17336010,2561.5156
15483091,2951.3204
10006441,2531.4366
13075455,2296.2254
17564519,2464.1176
18789619,2397.5172
15444304,2702.4023
13122354,2327.7397
10692173,2003.3208
12890276,2698.9704
14339451,2779.1008
16626118,2349.864
17268858,2581.3802
13816658,2741.128
14191617,2287.7959
13672975,2716.5432
16361679,2282.2812
17739883,2351.7536
19341462,2192.424
14117537,2615.3722
12667831,2259.8147
10661999,2808.925
10366046,2274.7536
11523134,2314.8697
12275702,2095.3032
11190411,2542.8018
19686449,2895.9056
15565644,2485.6611
10154011,2514.1298
12676049,2711.163
10228092,2395.4664
18997284,2832.9691
10836250,2712.1458
15883541,1845.0408
16990389,2437.3812
17046329,2756.3942
14136420,2389.3545
13138092,2413.8072
16655537,3021.8578
16245184,2285.6148
19157340,2198.2376
19810083,2771.6416
19821989,2190.4753
17219988,2530.017
19572798,2424.1776
18360844,2534.7049
13918575,2672.1604
15319150,2224.164
16112624,2225.7116
11099585,2919.2189
17300463,2848.2496
17118372,2659.2708
14435543,2557.7799
10908558,2253.5864
14181557,2767.289
17152651,2489.9148
10192977,2621.3915
19584135,2278.7882
19445771,2626.1074
11294536,2503.4178
12845462,2888.976
10578158,2370.6566
19789364,1831.0643
12301038,2534.3892
18976127,2053.812
11460469,2474.576
15238405,2417.1574
18559105,2729.2118
12761860,2129.7744
12777201,2944.886
11084582,2492.8761
11393152,2085.5148
12327773,2872.191
12038545,2744.3377
17593004,2960.0872
11708341,2609.1226
10753818,2518.572
10608177,2293.0464
11267944,2094.526
19795364,2832.5472
14290814,2084.3641
19222644,3233.5702
12847212,2262.312
11986136,2556.6385
11830053,2585.6727
14737350,2788.828
15294669,2320.2153
